epoch,train_loss,val_loss,val_macro_auroc,val_macro_auprc,learning_rate
1,1.143449132796377,1.115740329027176,0.48356227106227107,0.3061113500696834,0.0001
2,1.1098018269985914,1.1467605084180832,0.5999542124542125,0.2926829112245779,9.938441702975689e-05
3,1.1090857097879052,1.1097500771284103,0.6032509157509158,0.37115580407247073,9.755282581475769e-05
4,1.1027739425189793,1.1856757141649723,0.40283882783882785,0.2533657083657083,9.45503262094184e-05
5,1.094173398334533,1.0914317853748798,0.6188186813186813,0.3390360154249043,9.045084971874738e-05
6,1.0902144606225193,1.3046366535127163,0.44381868131868135,0.28642969684636355,8.535533905932738e-05
7,1.079689437057823,1.1387704573571682,0.40796703296703296,0.26351136517803186,7.938926261462366e-05
8,1.0702532771974802,1.1511270850896835,0.4797619047619048,0.2991183199516533,7.269952498697734e-05
9,1.0612442656420171,1.205654799938202,0.494047619047619,0.3333858733858734,6.545084971874738e-05
10,1.052762255538255,1.191671147942543,0.3929029304029304,0.24315650912873135,5.782172325201156e-05
