epoch,train_loss,val_loss,val_macro_auroc,val_macro_auprc,learning_rate
1,1.0656881083345189,1.065665803525759,0.5145312960018843,0.3565051130001054,0.0001
2,1.053665920882158,1.0608989039193029,0.48169863140451374,0.3338186019472193,9.972609476841367e-05
3,1.0605455091301823,1.036788214807925,0.6009381229969465,0.4982791065279792,9.890738003669029e-05
4,1.0472691235407976,1.0666625460852748,0.5344347709053592,0.43273053930501765,9.755282581475769e-05
5,1.0224520163916646,1.06760501343271,0.45881625322801795,0.4000484597648366,9.567727288213003e-05
6,1.002950239909087,1.0960674143355826,0.45468527350880295,0.3790432395854209,9.330127018922194e-05
7,0.962083681088658,1.041414201259613,0.5152429740665034,0.4348810477183074,9.045084971874738e-05
8,0.9344914422628465,1.1032761231712673,0.502704216821864,0.38850453058688766,8.715724127386972e-05
9,0.9243881884315204,1.0738406304431998,0.5121672092260328,0.43124940318718497,8.345653031794292e-05
10,0.9141606506607343,1.1082179261290508,0.4810603040014805,0.36630377850155016,7.938926261462366e-05
